artist_name,album_release_year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_name,album_name,key_mode
Taylor Swift,2021,0.624,0.624,5,-7.86,0.0539,0.334,0,0.0995,0.527,80.132,242157,FALSE,Bye Bye Baby (Taylor's Version) (From The Vault),Fearless (Taylor's Version),F major
Taylor Swift,2021,0.392,0.574,7,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,214706,FALSE,willow,evermore (deluxe version),G major
Taylor Swift,2021,0.462,0.24,0,-12.077,0.0377,0.92,0,0.113,0.32,171.319,244000,TRUE,champagne problems,evermore (deluxe version),C major
Taylor Swift,2021,0.512,0.462,9,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,185320,TRUE,gold rush,evermore (deluxe version),A major
Taylor Swift,2021,0.575,0.434,5,-8.193,0.0312,0.735,6.59E-05,0.105,0.348,145.916,229840,FALSE,_is the damn season,evermore (deluxe version),F major
Taylor Swift,2021,0.316,0.361,9,-10.381,0.0488,0.878,2.67E-05,0.0797,0.221,74.952,245440,TRUE,tolerate it,evermore (deluxe version),A major
Taylor Swift,2021,0.546,0.613,7,-7.589,0.0264,0.418,0,0.103,0.535,79.015,215626,FALSE,"no body, no crime (feat. HAIM)",evermore (deluxe version),G minor
Taylor Swift,2021,0.559,0.334,11,-10.733,0.0376,0.87,0,0.114,0.211,122.079,315146,TRUE,happiness,evermore (deluxe version),B major
Taylor Swift,2021,0.605,0.488,4,-8.322,0.0264,0.696,0,0.129,0.354,119.966,225880,FALSE,dorothea,evermore (deluxe version),E major
Taylor Swift,2021,0.537,0.537,8,-11.266,0.0617,0.819,0.000904,0.142,0.292,107.895,275320,FALSE,coney island (feat. The National),evermore (deluxe version),G# major
Taylor Swift,2021,0.515,0.545,2,-9.277,0.0353,0.855,1.97E-05,0.0921,0.535,88.856,260440,TRUE,ivy,evermore (deluxe version),D major
Taylor Swift,2021,0.604,0.517,0,-9.014,0.0347,0.768,0.000155,0.123,0.511,127.967,275040,TRUE,cowboy like me,evermore (deluxe version),C major
Taylor Swift,2021,0.546,0.73,0,-7.704,0.0417,0.66,0.179,0.0972,0.573,157.895,215920,FALSE,long story short,evermore (deluxe version),C major
Taylor Swift,2021,0.535,0.561,5,-11.609,0.0484,0.876,0.000136,0.115,0.287,96.103,257773,FALSE,marjorie,evermore (deluxe version),F major
Taylor Swift,2021,0.689,0.704,9,-10.813,0.245,0.835,4.83E-06,0.134,0.92,151.884,180653,FALSE,closure,evermore (deluxe version),A major
Taylor Swift,2021,0.39,0.27,1,-10.673,0.0308,0.937,0.00227,0.111,0.32,125.177,304106,FALSE,evermore (feat. Bon Iver),evermore (deluxe version),C# major
Taylor Swift,2021,0.581,0.619,10,-6.524,0.0282,0.769,0.000106,0.117,0.645,137.915,245026,FALSE,right where you left me - bonus track,evermore (deluxe version),A# major
Taylor Swift,2021,0.592,0.41,0,-12.426,0.0397,0.801,1.39E-05,0.09,0.416,151.923,254640,FALSE,it_time to go - bonus track,evermore (deluxe version),C major
Taylor Swift,2020,0.392,0.574,7,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,214706,FALSE,willow,evermore,G major
Taylor Swift,2020,0.462,0.24,0,-12.077,0.0377,0.92,0,0.113,0.32,171.319,244000,TRUE,champagne problems,evermore,C major
Taylor Swift,2020,0.512,0.462,9,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,185320,TRUE,gold rush,evermore,A major
